potentially wreck the pristine environment	/pəˈten.ʃəl.i rek ðə ˈprɪs.tiːn ɪnˈvaɪ.rən.mənt/	(v phrase) có khả năng phá hủy môi trường nguyên sơ		Poorly managed tourism can potentially wreck the pristine environment.	Large resorts may potentially wreck the pristine environment.	threaten, endanger, damage, ruin	Register: Strong/Neutral | Word family: potential (adj/n), potentially (adv), wreck (v), pristine (adj) | Cách dùng: Writing Task 2 - environment, tourism | Collocation/Note: potentially + base verb; consider formal alternative: may pose a threat to pristine environments
cut-throat competition	/ˈkʌt θroʊt ˌkɑːm.pəˈtɪʃ.ən/	(n phrase) sự cạnh tranh khốc liệt/khắc nghiệt		Small shops struggle to survive cut-throat competition.	Cut-throat competition can force companies to lower prices.	fierce competition, intense rivalry, brutal competition	Register: Informal/Neutral | Word family: compete (v), competition (n), competitive (adj), competitor (n) | Cách dùng: Writing Task 2 - business, globalization | Collocation/Note: hyphenated before noun; quite vivid, use carefully in formal essays
bankruptcy	/ˈbæŋ.krəpt.si/	(n) sự phá sản, tình trạng mất khả năng trả nợ		Cut-throat competition can push small firms into bankruptcy.	The company declared bankruptcy after years of losses.	insolvency, financial failure, liquidation	Register: Formal/Neutral | Word family: bankrupt (adj/v/n), bankruptcy (n) | Cách dùng: Writing Task 2 - business, economy | Collocation/Note: declare/file for/go into bankruptcy; bankrupt is adjective or verb
merger	/ˈmɝː.dʒɚ/	(n) sự sáp nhập, hợp nhất doanh nghiệp/tổ chức		The merger created one of the largest banks in Asia.	A merger can help companies reduce operating costs.	amalgamation, consolidation, union, takeover	Register: Formal/Neutral | Word family: merge (v), merger (n), merged (adj) | Cách dùng: Writing Task 2 - business, economy | Collocation/Note: merger between A and B; merger with another company
monitor something carefully	/ˈmɑː.nə.t̬ɚ ˈsʌm.θɪŋ ˈker.fəl.i/	(v phrase) theo dõi/giám sát điều gì đó một cách cẩn thận		New policies should be monitored carefully after implementation.	Parents need to monitor children's screen time carefully.	observe, track, supervise, oversee	Register: Formal/Neutral | Word family: monitor (v/n), monitoring (n), careful (adj), carefully (adv) | Cách dùng: Writing Task 2 - policy, health, education | Collocation/Note: monitor progress/effects/situation; passive: be monitored carefully
economic impetus	/ˌek.əˈnɑː.mɪk ˈɪm.pə.t̬əs/	(n phrase) động lực/thúc đẩy về kinh tế		Tourism can provide economic impetus for rural areas.	Foreign investment gives economic impetus to developing regions.	economic stimulus, driving force, boost, momentum	Register: Formal | Word family: economy (n), economic (adj), impetus (n) | Cách dùng: Writing Task 2 - development, economy | Collocation/Note: provide/give impetus to + noun; impetus is usually singular
require a large workforce	/rɪˈkwaɪr ə lɑːrdʒ ˈwɝːk.fɔːrs/	(v phrase) đòi hỏi một lực lượng lao động lớn		Large construction projects require a large workforce.	Tourism services often require a large workforce.	need many workers, demand labor, call for staff	Register: Neutral/Formal | Word family: require (v), requirement (n), workforce (n) | Cách dùng: Writing Task 2 - employment, industry | Collocation/Note: require + noun/to-infinitive; workforce is singular collective noun
create employment opportunities	/kriˈeɪt ɪmˈplɔɪ.mənt ˌɑː.pɚˈtuː.nə.t̬iz/	(v phrase) tạo cơ hội việc làm		Infrastructure projects can create employment opportunities locally.	Tourism creates employment opportunities for young people.	generate jobs, provide work, offer job opportunities	Register: Formal/Neutral | Word family: employ (v), employment (n), employee (n), employer (n) | Cách dùng: Writing Task 2 - economy, development | Collocation/Note: create/generate employment opportunities; employment is uncountable
boost the regional economy	/buːst ðə ˈriː.dʒən.əl ɪˈkɑː.nə.mi/	(v phrase) thúc đẩy nền kinh tế khu vực		Tourism can boost the regional economy significantly.	New roads help boost the regional economy.	stimulate, strengthen, support, revitalize	Register: Neutral/Formal | Word family: boost (v/n), region (n), regional (adj), economy (n) | Cách dùng: Writing Task 2 - development, tourism | Collocation/Note: boost the economy/growth/income; regional = thuộc khu vực
halt	/hɑːlt/ (v); /hɑːlt/ (n)	(v) dừng lại, chấm dứt; (n) sự dừng lại		The government must halt illegal logging immediately.	Work came to a halt because of heavy rain.	stop, cease, end, suspend	Register: Formal/Neutral | Word family: halt (v/n), halted (adj/past) | Cách dùng: Writing Task 2 - environment, policy | Collocation/Note: halt production/deforestation/spread; come to a halt
enforce stricter environmental regulations	/ɪnˈfɔːrs ˈstrɪk.tɚ ɪnˌvaɪ.rənˈmen.t̬əl ˌreɡ.jəˈleɪ.ʃənz/	(v phrase) thực thi các quy định môi trường nghiêm ngặt hơn		Governments should enforce stricter environmental regulations on factories.	Stricter rules must be enforced to protect forests.	implement, impose, apply, uphold	Register: Formal | Word family: enforce (v), enforcement (n), regulation (n), regulatory (adj) | Cách dùng: Writing Task 2 - environment, law | Collocation/Note: enforce regulations/laws/rules; strict/stricter regulations
promote sustainable industrial practices	/prəˈmoʊt səˈsteɪ.nə.bəl ɪnˈdʌs.tri.əl ˈpræk.tɪ.sɪz/	(v phrase) thúc đẩy các hoạt động công nghiệp bền vững		Governments should promote sustainable industrial practices.	Tax incentives can promote sustainable industrial practices.	encourage, foster, support, advance	Register: Formal | Word family: promote (v), promotion (n), sustain (v), sustainable (adj), sustainability (n) | Cách dùng: Writing Task 2 - environment, industry | Collocation/Note: sustainable practices/development/industry; promote + noun
improve access to these energy sources	/ɪmˈpruːv ˈæk.ses tə ðiːz ˈen.ɚ.dʒi ˈsɔːr.sɪz/	(v phrase) cải thiện khả năng tiếp cận các nguồn năng lượng này		Subsidies can improve access to these energy sources.	Better infrastructure improves access to renewable energy sources.	expand access, increase availability, make accessible	Register: Formal/Neutral | Word family: improve (v), improvement (n), access (n/v), accessible (adj) | Cách dùng: Writing Task 2 - energy, policy | Collocation/Note: improve access to + service/resource; energy source is countable, energy is uncountable
